Parameters (in next line): Iterations|PreyReproductionRate|PreyVisionRadius|PreyMaxSpeed|PredatorReproductionRate|PredatorVisionRadius|PredatorMaxSpeed
100||1||8||0,5||1||15||0,6
Iteracion|InicialPresas|InicialPredadores
Iteracion|SupervivientesPresas|SupervivientesPredadores
0||500||15
0||304||15
1||456||22
1||268||22
2||402||33
2||203||31
3||304||46
3||151||44
4||226||66
4||112||51
5||168||76
5||89||47
6||133||70
6||71||40
7||106||60
7||57||34
8||85||51
8||49||25
9||73||37
9||44||20
10||66||30
10||41||17
11||61||25
11||36||17
12||54||25
12||32||15
13||48||22
13||29||16
14||43||24
14||28||10
15||42||15
15||28||11
16||42||16
16||27||12
17||40||18
17||27||12
18||40||18
18||28||9
19||42||13
19||29||7
20||43||10
20||30||7
21||45||10
21||31||7
22||46||10
22||32||8
23||48||12
23||34||9
24||51||13
24||37||8
25||55||12
25||37||11
26||55||16
26||37||10
27||55||15
27||39||11
28||58||16
28||42||12
29||63||18
29||48||12
30||72||18
30||50||14
31||75||21
31||51||13
32||76||19
32||52||16
33||78||24
33||55||15
34||82||22
34||57||16
35||85||24
35||58||15
36||87||22
36||60||15
37||90||22
37||62||15
38||93||22
38||63||17
39||94||25
39||67||14
40||100||21
40||74||16
41||111||24
41||82||18
42||123||27
42||84||18
43||126||27
43||89||18
44||133||27
44||93||23
45||139||34
45||94||23
46||141||34
46||97||26
47||145||39
47||99||27
48||148||40
48||101||28
49||151||42
49||104||27
50||156||40
50||106||30
51||159||45
51||109||30
52||163||45
52||112||33
53||168||49
53||117||31
54||175||46
54||122||31
55||183||46
55||126||29
56||189||43
56||128||33
57||192||49
57||131||32
58||196||48
58||136||32
59||204||48
59||136||40
60||204||60
60||141||36
61||211||54
61||142||36
62||213||54
62||145||35
63||217||52
63||148||35
64||222||52
64||151||39
65||226||58
65||153||47
66||229||70
66||155||46
67||232||69
67||158||47
68||237||70
68||160||46
69||240||69
69||163||43
70||244||64
70||168||42
71||252||63
71||173||44
72||259||66
72||181||48
73||271||72
73||181||51
74||271||76
74||182||53
75||273||79
75||190||51
76||285||76
76||192||50
77||288||75
77||200||49
78||300||73
78||203||54
79||304||81
79||210||55
80||315||82
80||212||55
81||318||82
81||217||62
82||325||93
82||221||63
83||331||94
83||223||60
84||334||90
84||230||60
85||345||90
85||231||61
86||346||91
86||238||60
87||357||90
87||239||67
88||358||100
88||242||68
89||363||102
89||247||71
90||370||106
90||252||68
91||378||102
91||259||67
92||388||100
92||271||67
93||406||100
93||277||73
94||415||109
94||277||83
95||415||124
95||278||78
96||417||117
96||293||75
97||439||112
97||296||85
98||444||127
98||302||86
99||453||129
99||310||87
