Parameters (in next line): Iterations|PreyReproductionRate|PreyVisionRadius|PreyMaxSpeed|PredatorReproductionRate|PredatorVisionRadius|PredatorMaxSpeed
100||1||8||0,5||1||15||0,6
Iteracion|InicialPresas|InicialPredadores
Iteracion|SupervivientesPresas|SupervivientesPredadores
0||500||15
0||298||15
1||447||22
1||250||22
2||375||33
2||200||33
3||300||49
3||133||47
4||199||70
4||96||53
5||144||79
5||68||51
6||102||76
6||44||39
7||66||58
7||32||26
8||48||39
8||22||17
9||33||25
9||15||13
10||22||19
10||11||11
11||16||16
11||8||8
12||12||12
12||5||7
13||7||10
13||3||4
14||4||6
14||2||2
15||3||3
15||1||2
16||1||3
16||0||0
