2021-09-21
Parameters (in next line): Iterations|PreyReproductionRate|PreyMaxSpeed|PreyVisionRadius|PredatorReproductionRate|PredatorMaxSpeed|PredatorVisionRadius|InitialPlants|GrowthRate
200||0,9|0,55|8||0,3|0,6|15|1200|1,7
Iteracion|InicialPresas|InicialPredadores|SupervivientesPresas|SupervivientesPredadores|Plantas|PlantasSupervivientes
0|500|12|397|12|1200|803
1|575|13|447|13|1365,1|918,1
2|651|14|554|14|1560,77|1006,77
3|798|15|663|15|1711,509|1048,509
4|956|17|830|17|1782,4653|952,465299999999
5|1201|17|1043|17|1619,19101|576,191009999999
6|1520|23|1309|23|979,524716999998|-329,475283000002
7|1131|24|879|24|340|-539
8|202|27|70|27|340|270
9|104|29|12|29|459|447
10|16|32|2|32|759,9|757,9
11|3|13|0|13|1288,43|1288,43
