2021-09-20
Parameters (in next line): Iterations|PreyReproductionRate|PreyMaxSpeed|PreyVisionRadius|PredatorReproductionRate|PredatorMaxSpeed|PredatorVisionRadius|InitialPlants|GrowthRate
200||0,9|0,55|8||0,3|0,6|15|1200|1,7
Iteracion|InicialPresas|InicialPredadores|SupervivientesPresas|SupervivientesPredadores|Plantas|PlantasSupervivientes
0|500|12|410|12|1200|790
1|601|12|516|12|1343|827
2|749|12|633|12|1405,9|772,9
3|914|12|800|12|1313,93|513,93
4|1162|14|1030|14|873,681|-156,319
5|978|17|814|17|340|-474
6|201|20|113|20|340|227
7|165|26|36|26|385,9|349,9
8|52|28|6|28|594,83|588,83
9|9|25|0|25|1001,011|1001,011
